CouponTime,CouponId,Category,ATP,Day,TimePoint,WetCycling,Material,WetMat,Sample,Materials,RH,Objects.mL,Objects.cm2,gDNA.well,gDNA.plate,spore_density,hyphae_length,rich16s,cshan16s,richITS,cshanITS,16sreads,ITSreads
55.T1,55,GW,346,7,0,Cycling,Gypsum,NA,1.55,GW,CYC,15616000,156160,E7,1,252.208,15267.618,14,2.373,39,1.397,5719,26847
55.T2,55,GW,419,21,1,Cycling,Gypsum,NA,3.55,GW,CYC,31354000,313540,E7,3,675.337,4059.762,30,3.24,72,2.724,3982,114483
55.T3,55,GW,610,35,NA,Cycling,Gypsum,NA,5.55,GW,CYC,4636000,46360,E7,5,325.859,1117.456,1,0,73,2.493,194,150469
55.T4,55,GW,3947,49,NA,Cycling,Gypsum,NA,7.55,GW,CYC,7381000,73810,E7,7,122.354,1080.241,12,2.331,41,2.302,839,25343
56.T1,56,GW,326,7,0,Cycling,Gypsum,NA,1.56,GW,CYC,NA,NA,E8,1,NA,NA,19,2.887,NA,NA,1638,NA
56.T2,56,GW,4688,21,1,Cycling,Gypsum,NA,3.56,GW,CYC,NA,NA,E8,3,NA,NA,68,4.106,NA,NA,7157,NA
56.T3,56,GW,7434,35,NA,Cycling,Gypsum,NA,5.56,GW,CYC,NA,NA,E8,5,NA,NA,3,1.059,NA,NA,103,NA
56.T4,56,GW,1574,49,NA,Cycling,Gypsum,NA,7.56,GW,CYC,NA,NA,E8,7,NA,NA,1,0,NA,NA,242,NA
57.T1,57,GW,256,7,0,Cycling,Gypsum,NA,1.57,GW,CYC,9089000,90890,E9,1,129.322,1326.125,15,2.567,69,2.291,967,90938
57.T2,57,GW,571,21,1,Cycling,Gypsum,NA,3.57,GW,CYC,37637000,376370,E9,3,788.082,1483.218,91,4.235,76,3.055,20903,125559
57.T3,57,GW,1159,35,NA,Cycling,Gypsum,NA,5.57,GW,CYC,10065000,100650,E9,5,1041.414,3120.009,19,2.75,57,3.034,1473,64084
57.T4,57,GW,2528,49,NA,Cycling,Gypsum,NA,7.57,GW,CYC,3233000,32330,E9,7,78.433,440.763,10,2.285,67,2.381,588,119545
58.T1,58,GW,672,7,0,Cycling,Gypsum,NA,1.58,GW,CYC,NA,NA,E10,1,NA,NA,82,4.261,NA,NA,13020,NA
58.T2,58,GW,297,21,1,Cycling,Gypsum,NA,3.58,GW,CYC,NA,NA,E10,3,NA,NA,26,3.131,NA,NA,3197,NA
58.T3,58,GW,449,35,NA,Cycling,Gypsum,NA,5.58,GW,CYC,NA,NA,E10,5,NA,NA,7,1.727,NA,NA,617,NA
58.T4,58,GW,2596,49,NA,Cycling,Gypsum,NA,7.58,GW,CYC,NA,NA,E10,7,NA,NA,29,3.248,NA,NA,3670,NA
59.T1,59,GW,561,7,0,Cycling,Gypsum,NA,1.59,GW,CYC,13847000,138470,E11,1,102.584,1032.511,30,2.545,54,2.551,16126,43580
59.T2,59,GW,331,21,1,Cycling,Gypsum,NA,3.59,GW,CYC,23241000,232410,E11,3,1279.279,1798.567,82,4.208,53,2.604,13538,36671
59.T3,59,GW,704,35,NA,Cycling,Gypsum,NA,5.59,GW,CYC,7259000,72590,E11,5,126.165,8961.262,47,3.574,62,2.618,5348,91077
59.T4,59,GW,4631,49,NA,Cycling,Gypsum,NA,7.59,GW,CYC,4575000,45750,E11,7,155.332,861.989,4,1.176,78,2.627,294,89877
6.T1,6,MDF,147,7,0,Wet,Medium Density Fiberboard,NA,1.6,MDF,WET,NA,NA,A6,1,NA,NA,13,2.346,NA,NA,993,NA
6.T2,6,MDF,7287,21,1,Wet,Medium Density Fiberboard,NA,3.6,MDF,WET,NA,NA,A6,3,NA,NA,2,0.691,NA,NA,32,NA
6.T3,6,MDF,7,35,NA,Wet,Medium Density Fiberboard,NA,5.6,MDF,WET,NA,NA,A6,5,NA,NA,7,1.73,NA,NA,449,NA
6.T4,6,MDF,460,49,NA,Wet,Medium Density Fiberboard,NA,7.6,MDF,WET,NA,NA,A6,7,NA,NA,36,3.217,NA,NA,4604,NA
60.T1,60,GW,541,7,0,Cycling,Gypsum,NA,1.6,GW,CYC,NA,NA,E12,1,NA,NA,19,2.775,NA,NA,1068,NA
60.T2,60,GW,762,21,1,Cycling,Gypsum,NA,3.6,GW,CYC,NA,NA,E12,3,NA,NA,94,4.299,NA,NA,32787,NA
60.T3,60,GW,700,35,NA,Cycling,Gypsum,NA,5.6,GW,CYC,NA,NA,E12,5,NA,NA,97,4.272,NA,NA,37813,NA
60.T4,60,GW,2632,49,NA,Cycling,Gypsum,NA,7.6,GW,CYC,NA,NA,E12,7,NA,NA,60,4.018,NA,NA,5058,NA
7.T1,7,MDF,447,7,0,Wet,Medium Density Fiberboard,NA,1.7,MDF,WET,2218182,22181.82,A7,1,404.29,0,NA,NA,14,1.148,NA,NA
7.T2,7,MDF,7869,21,1,Wet,Medium Density Fiberboard,NA,3.7,MDF,WET,14884000,148840,A7,3,361.35,277.722,20,2.898,55,0.922,2402,99868
7.T3,7,MDF,3911,35,NA,Wet,Medium Density Fiberboard,NA,5.7,MDF,WET,40565000,405650,A7,5,820.234,1275.808,39,3.346,19,1.156,5064,49323
7.T4,7,MDF,6023,49,NA,Wet,Medium Density Fiberboard,NA,7.7,MDF,WET,11712000,117120,A7,7,173.193,1121.403,26,3.03,5,0.175,3695,39812
8.T1,8,MDF,249,7,0,Wet,Medium Density Fiberboard,NA,1.8,MDF,WET,NA,NA,A8,1,NA,NA,20,2.889,NA,NA,1821,NA
8.T2,8,MDF,8841,21,1,Wet,Medium Density Fiberboard,NA,3.8,MDF,WET,NA,NA,A8,3,NA,NA,3,0.859,NA,NA,81,NA
8.T3,8,MDF,997,35,NA,Wet,Medium Density Fiberboard,NA,5.8,MDF,WET,NA,NA,A8,5,NA,NA,17,2.7,NA,NA,1479,NA
8.T4,8,MDF,4062,49,NA,Wet,Medium Density Fiberboard,NA,7.8,MDF,WET,NA,NA,A8,7,NA,NA,20,2.734,NA,NA,5023,NA
9.T1,9,MDF,150,7,0,Wet,Medium Density Fiberboard,NA,1.9,MDF,WET,1891000,18910,A9,1,496.109,0,91,4.349,50,1.493,12694,30787
9.T2,9,MDF,9999,21,1,Wet,Medium Density Fiberboard,NA,3.9,MDF,WET,42212000,422120,A9,3,1529.429,1384.693,55,3.93,50,0.595,3937,67762
9.T3,9,MDF,848,35,NA,Wet,Medium Density Fiberboard,NA,5.9,MDF,WET,23790000,237900,A9,5,423.475,250.899,44,3.463,63,0.867,7420,107939
9.T4,9,MDF,357,49,NA,Wet,Medium Density Fiberboard,NA,7.9,MDF,WET,28304000,283040,A9,7,170.62,1008.985,30,2.833,42,0.85,17656,67282
