Domain	Phylum	Class	Order	Family	Genus	1.T0	1.T1	1.T2	1.T3	1.T4	10.T1	10.T2	10.T3	10.T4	11.T0	11.T1	11.T2	11.T3	12.T1	12.T2	12.T3	12.T4	13.T1	13.T3	13.T4	14.T1	14.T2	14.T3	14.T4	15.T0	15.T1	15.T2	15.T3	15.T4	16.T2	16.T3	16.T4	17.T1	17.T2	17.T3	17.T4	18.T1	18.T2	18.T3	18.T4	19.T1	19.T2	19.T3	2.T1	2.T2	2.T3	2.T4	20.T1	20.T2	20.T3	20.T4	21.T0	21.T3	21.T4	22.T0	22.T1	22.T2	22.T3	22.T4	23.T1	23.T2	23.T3	23.T4	24.T1	24.T2	24.T3	24.T4	25.T1	25.T2	25.T3	25.T4	26.T1	26.T2	26.T3	26.T4	27.T2	27.T3	27.T4	28.T1	28.T2	28.T3	28.T4	29.T1	29.T3	29.T4	3.T1	3.T3	3.T4	30.T1	30.T2	30.T3	30.T4	31.T0	31.T1	31.T2	31.T3	31.T4	32.T1	32.T2	32.T3	32.T4	33.T0	33.T1	33.T4	34.T1	34.T2	34.T3	34.T4	35.T1	35.T2	35.T3	35.T4	36.T1	36.T2	36.T3	36.T4	37.T1	37.T2	37.T3	37.T4	38.T1	38.T2	38.T3	38.T4	39.T1	39.T2	39.T3	39.T4	4.T1	4.T2	4.T3	4.T4	40.T1	40.T2	40.T3	40.T4	41.T0	41.T1	41.T2	41.T4	42.T1	42.T2	42.T3	42.T4	43.T1	43.T2	43.T3	43.T4	44.T1	44.T2	44.T4	45.T0	45.T1	45.T2	45.T3	45.T4	46.T1	46.T2	46.T3	46.T4	47.T1	47.T2	47.T3	47.T4	48.T1	48.T2	48.T3	48.T4	49.T1	49.T2	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T1	50.T2	50.T3	50.T4	51.T0	51.T1	51.T2	51.T3	51.T4	52.T1	52.T2	52.T3	52.T4	53.T1	53.T2	53.T3	53.T4	54.T1	54.T2	54.T3	55.T0	55.T1	55.T2	55.T3	55.T4	56.T1	56.T2	56.T3	56.T4	57.T1	57.T2	57.T3	57.T4	58.T1	58.T2	58.T3	58.T4	59.T1	59.T2	59.T3	59.T4	6.T1	6.T2	6.T3	6.T4	60.T1	60.T2	60.T3	60.T4	7.T2	7.T3	7.T4	8.T1	8.T2	8.T3	8.T4	9.T1	9.T2	9.T3	9.T4
Bacteria						0.0	0.0	263.0	444.0	59.0	0.0	0.0	13.0	0.0	0.0	0.0	8.0	0.0	31.0	16.0	52.0	0.0	1992.0	24598.0	1189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	11.0	10.0	0.0	45.0	5343.0	2212.0	3271.0	0.0	217.0	0.0	0.0	0.0	0.0	22.0	0.0	8.0	15044.0	0.0	472.0	0.0	0.0	36.0	418.0	367.0	48.0	0.0	343.0	25953.0	21834.0	35200.0	23991.0	36.0	0.0	0.0	515.0	12.0	0.0	38.0	101.0	307.0	213.0	191.0	0.0	0.0	162.0	0.0	0.0	0.0	50.0	644.0	6712.0	282.0	0.0	109.0	727.0	165.0	2937.0	34.0	45607.0	218.0	33157.0	0.0	0.0	1030.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	62.0	47.0	0.0	189.0	5254.0	128.0	56.0	63.0	0.0	69.0	94.0	10.0	0.0	0.0	0.0	0.0	11.0	284.0	0.0	0.0	6.0	0.0	13.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	107.0	0.0	439.0	298.0	242.0	9.0	0.0	0.0	0.0	673.0	16.0	0.0	0.0	52.0	33.0	16.0	16.0	60.0	786.0	675.0	981.0	24.0	13.0	0.0	0.0	0.0	11371.0	1099.0	293.0	8.0	0.0	10.0	13.0	0.0	0.0	327.0	3081.0	1368.0	86.0	0.0	0.0	11.0	22.0	28.0	22.0	22.0	89.0	5.0	0.0	298.0	171.0	66.0	2547.0	390.0	0.0	6.0	0.0	174.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	32.0	17.0	43.0	0.0	63.0	0.0	0.0	889.0	246.0	1423.0	0.0	196.0	13.0	0.0	13.0	8.0	92.0	24.0	0.0	0.0	414.0	31.0	157.0	0.0	0.0	0.0	672.0	0.0	26.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	0.0	0.0	0.0	0.0	192.0	0.0	0.0	347.0	0.0	0.0	0.0	0.0	76.0	68.0	0.0	1082.0	149.0	0.0	66.0	298.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	1984.0	55.0	0.0	71.0	1244.0	0.0	0.0	1937.0	330.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	59.0	47.0	1544.0	795.0	0.0	0.0	0.0	100.0	0.0	1824.0	6821.0	0.0	0.0	0.0	8689.0	8491.0	16.0	0.0	3622.0	4353.0	0.0	0.0	473.0	3305.0	354.0	24.0	79.0	3578.0	2319.0	37.0	0.0	974.0	3464.0	7777.0	7103.0	46.0	0.0	4946.0	11994.0	0.0	477.0	8883.0	0.0	0.0	566.0	0.0	45.0	2364.0	1863.0	0.0	35.0	0.0	88.0	127.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0	202.0	25.0	0.0	417.0	466.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	400.0	260.0	22.0	0.0	0.0	0.0	21.0	29.0	0.0	0.0	0.0	64.0	4649.0	0.0	44.0	0.0	0.0	54.0	0.0	132.0	54.0	95.0	138.0	11287.0	3145.0	0.0	0.0	22658.0	26.0	118.0	20.0	895.0	15266.0	0.0	0.0	3917.0	12723.0	0.0	0.0	101.0	0.0	11.0	45.0	90.0	2232.0	0.0	0.0	286.0	2793.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2340.0	1169.0	85.0	0.0	0.0	130.0	0.0	21.0	0.0	107.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	23.0	0.0	37.0	647.0	14069.0	82.0	323.0	92.0	0.0	0.0	0.0	2806.0	0.0	42.0	203.0	0.0	1494.0	2825.0	2302.0	0.0	55.0	0.0	0.0	288.0	0.0	104.0	44.0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	131.0	409.0	19.0	10.0	54.0	0.0	26.0	0.0	0.0	166.0	134.0	0.0	0.0	1631.0	62.0	125.0	0.0	189.0	18.0	0.0	0.0	11.0	25.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	615.0	56.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	122.0	98.0	17.0	0.0	0.0	217.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	23.0	12.0	26.0	0.0	22.0	0.0	46.0	0.0	22.0	0.0	27.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	995.0	381.0	390.0	0.0	0.0	0.0	14.0	0.0	95.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	76.0	285.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	17.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	78.0	0.0	0.0	0.0	16.0	0.0	9.0	0.0	0.0	0.0	11.0	0.0	37.0	39.0	0.0	123.0	439.0	829.0	0.0	37.0	62.0	0.0	0.0	0.0	17.0	35.0	0.0	0.0	0.0	0.0	58.0	0.0	551.0	20.0	24.0	85.0	153.0	0.0	45.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	2804.0	0.0	40.0	0.0	29.0	49.0	363.0	0.0	0.0	17.0	906.0	0.0	0.0	827.0	0.0	0.0	0.0	16.0	853.0	0.0	0.0	40.0	0.0	0.0	0.0	17.0	2199.0	2786.0	380.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	991.0	258.0	0.0	6.0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		345.0	759.0	76.0	0.0	142.0	0.0	0.0	0.0	6.0	0.0	221.0	33.0	0.0	4259.0	129.0	377.0	0.0	400.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	0.0	0.0	127.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	1816.0	196.0	122.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	136.0	0.0	21.0	47.0	0.0	84.0	0.0	0.0	0.0	318.0	187.0	0.0	0.0	0.0	607.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	47.0	41.0	94.0	12.0	41.0	0.0	114.0	0.0	0.0	50.0	0.0	0.0	487.0	0.0	0.0	0.0	58.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	66.0	0.0	24.0	2260.0	1449.0	716.0	14.0	0.0	0.0	48.0	0.0	292.0	0.0	218.0	7.0	0.0	0.0	0.0	0.0	46.0	728.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	52.0	40.0	43.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	35.0	49.0	0.0	192.0	0.0	306.0	1209.0	1456.0	0.0	0.0	152.0	51.0	0.0	0.0	78.0	90.0	0.0	0.0	0.0	50.0	146.0	0.0	1686.0	0.0	81.0	164.0	361.0	0.0	0.0	0.0	0.0	88.0	63.0	0.0	0.0	0.0	60.0	0.0	6544.0	0.0	0.0	0.0	68.0	112.0	877.0	0.0	0.0	51.0	2941.0	0.0	0.0	2012.0	72.0	0.0	0.0	67.0	2143.0	35.0	0.0	80.0	0.0	0.0	0.0	32.0	4959.0	5533.0	706.0	29.0	7.0	0.0	192.0	0.0	0.0	0.0	1553.0	526.0	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.0	0.0	0.0	637.0	4051.0	0.0	0.0	7523.0	10501.0	0.0	0.0	0.0	0.0	0.0	0.0	1048.0	155.0	0.0	606.0	820.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	1458.0	0.0	165.0	0.0	233.0	0.0	60.0	1349.0	138.0	0.0	0.0	0.0	155.0	0.0	0.0	171.0	0.0	0.0	557.0	488.0	0.0	0.0	255.0	10.0	0.0	639.0	810.0	0.0	0.0	4320.0	1402.0	1376.0	0.0	0.0	686.0	1175.0	0.0	1587.0	359.0	1459.0	0.0	22.0	827.0	1542.0	0.0	0.0	0.0	495.0	565.0	1595.0	2195.0	0.0	0.0	3324.0	1289.0	289.0	29.0	1631.0	0.0	116.0	1502.0	9.0	0.0	996.0	1132.0	0.0	0.0	517.0	3489.0	8111.0	0.0	255.0	178.0	2620.0	0.0	0.0	2876.0	0.0	1642.0	311.0	2985.0	0.0	1375.0	644.0	7705.0	0.0	152.0	98.0	3744.0	0.0	651.0	261.0	1354.0	0.0	902.0	2438.0	938.0	0.0	1280.0	73.0	4094.0	0.0	0.0	140.0	28.0	0.0	227.0	2405.0	199.0	0.0	0.0	42.0	0.0	0.0	0.0	196.0	0.0	0.0	125.0	129.0	0.0	0.0	1941.0	269.0	0.0	31.0	0.0	35.0	0.0	0.0	247.0	537.0	249.0	0.0	0.0	321.0	0.0	0.0	30.0	92.0	0.0	235.0	232.0	1484.0	172.0	244.0	0.0	0.0	177.0	106.0	0.0	93.0	433.0	0.0	0.0	0.0	0.0	521.0	87.0	0.0	0.0	569.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	151.0	0.0	21.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	81.0	1374.0	0.0	96.0	51.0	0.0	397.0	900.0	1021.0	0.0	0.0	0.0	4783.0	121.0	10.0	4632.0	15899.0
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		0.0	62.0	0.0	0.0	62.0	0.0	0.0	265.0	0.0	0.0	0.0	0.0	108.0	0.0	60.0	1194.0	185.0	0.0	226.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	906.0	0.0	0.0	146.0	180.0	0.0	0.0	771.0	44.0	0.0	0.0	100.0	0.0	0.0	0.0	346.0	0.0	0.0	275.0	217.0	0.0	12.0	0.0	0.0	0.0	764.0	873.0	0.0	0.0	559.0	4011.0	2441.0	0.0	210.0	1331.0	923.0	0.0	2650.0	1067.0	1577.0	293.0	0.0	314.0	78.0	0.0	0.0	233.0	3331.0	79.0	720.0	2085.0	0.0	62.0	4798.0	1910.0	0.0	53.0	483.0	0.0	35.0	254.0	0.0	173.0	1761.0	932.0	0.0	0.0	286.0	665.0	1387.0	0.0	799.0	129.0	265.0	0.0	0.0	504.0	11.0	194.0	19.0	0.0	0.0	3287.0	59.0	912.0	0.0	80.0	0.0	161.0	0.0	1088.0	47.0	123.0	0.0	918.0	319.0	182.0	0.0	865.0	15.0	1026.0	0.0	0.0	35.0	0.0	0.0	556.0	1002.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	915.0	0.0	0.0	0.0	224.0	0.0	0.0	331.0	83.0	0.0	0.0	47.0	148.0	0.0	0.0	0.0	88.0	0.0	0.0	82.0	333.0	0.0	0.0	92.0	107.0	0.0	0.0	62.0	293.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	94.0	246.0	0.0	0.0	63.0	64.0	344.0	0.0	0.0	66.0	605.0	0.0	0.0	128.0	162.0	0.0	0.0	0.0	263.0	0.0	8.0	136.0	0.0	0.0	0.0	56.0	44.0	0.0	0.0	80.0	172.0	0.0	248.0	95.0	143.0	0.0	29.0	90.0	598.0	0.0	0.0	0.0	212.0	188.0	0.0	0.0	150.0	0.0	0.0	238.0	154.0	0.0	0.0	195.0	0.0	0.0	0.0	619.0	196.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	20.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	766.0	0.0	5.0	53.0	869.0	676.0	0.0	89.0	137.0	1263.0	0.0	0.0	6.0	230.0	121.0	0.0	31.0	124.0	24.0	370.0	73.0	498.0	729.0	220.0	1349.0	0.0	13.0	90.0	92.0	0.0	40.0	123.0	0.0	17.0	137.0	0.0	0.0	20.0	135.0	0.0	0.0	11.0	37.0	190.0	0.0	0.0	0.0	89.0	0.0	0.0	213.0	0.0	94.0	22.0	86.0	0.0	0.0	0.0	501.0	0.0	0.0	41.0	223.0	0.0	14.0	0.0	33.0	0.0	89.0	235.0	150.0	0.0	23.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	433.0	0.0	0.0	27.0	0.0	0.0	84.0	136.0	27.0	14.0	176.0	166.0	386.0	0.0	81.0	1145.0	0.0	18.0	0.0	0.0	636.0	0.0	20.0	92.0	216.0	0.0	0.0	106.0	61.0	0.0	0.0	35.0	0.0	0.0	41.0	334.0	40.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	54.0	16.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	109.0	18.0	0.0	0.0	0.0	56.0	0.0	18.0	0.0	0.0	57.0	111.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	15.0	145.0	231.0	5.0	69.0	60.0	0.0	0.0	0.0	41.0	32.0	0.0	23.0	27.0	95.0	103.0	0.0	0.0	0.0	83.0	57.0	0.0	0.0	508.0	138.0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	407.0	1230.0	145.0	64.0	196.0	24.0	0.0	0.0	0.0	0.0	237.0	10.0	0.0	9692.0	64.0	682.0	0.0	486.0	55.0	179.0	0.0	84.0	78.0	0.0	0.0	146.0	0.0	274.0	0.0	0.0	166.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	2765.0	236.0	219.0	0.0	7.0	0.0	123.0	0.0	0.0	26.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	521.0	535.0	124.0	0.0	0.0	868.0	0.0	0.0	73.0	0.0	0.0	25.0	0.0	62.0	0.0	52.0	0.0	64.0	0.0	109.0	0.0	0.0	44.0	77.0	0.0	617.0	0.0	0.0	0.0	95.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	59.0	0.0	0.0	0.0	49.0	0.0	41.0	21.0	3013.0	2272.0	1594.0	0.0	33.0	0.0	35.0	0.0	226.0	0.0	368.0	0.0	0.0	10.0	0.0	0.0	107.0	1314.0	167.0	0.0	0.0	19.0	0.0	0.0	0.0	248.0	0.0	0.0	38.0	43.0	0.0	0.0	0.0	0.0	14.0	0.0	107.0	217.0	65.0	0.0	11.0	34.0	0.0	23.0	0.0	0.0	8.0	22.0	38.0	80.0	200.0	0.0	575.0	2259.0	9946.0	0.0	91.0	147.0	74.0	0.0	0.0	78.0	159.0	0.0	0.0	0.0	84.0	258.0	0.0	1735.0	0.0	89.0	212.0	428.0	0.0	178.0	85.0	0.0	184.0	72.0	0.0	0.0	0.0	57.0	0.0	13611.0	0.0	122.0	0.0	150.0	161.0	2003.0	0.0	0.0	30.0	6612.0	0.0	0.0	3593.0	57.0	0.0	0.0	70.0	3003.0	10.0	11.0	47.0	0.0	0.0	0.0	71.0	9139.0	11560.0	1589.0	20.0	0.0	0.0	392.0	0.0	0.0	0.0	3289.0	1094.0	0.0	0.0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	63.0	0.0	0.0	230.0	0.0	0.0	0.0	0.0	0.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	15.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	12.0	0.0	0.0	22.0	136.0	0.0	0.0	94.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	731.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	90.0	45.0	0.0	117.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	75.0	56.0	496.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	62.0	0.0	0.0	50.0	0.0	0.0	0.0	37.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	339.0	0.0	85.0	24.0	118.0	0.0	99.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	0.0	107.0	0.0	9.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	190.0	0.0	41.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0
