OTU_ID	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
39e978b4db3a567f03d99eaa9ba0f690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245169.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f36e5b64e17e52675b0413ee3dd85ef7	73.0	0.0	0.0	81.0	80.0	64.0	1043.0	0.0	117.0	119.0	254.0	116.0	3638.0	284.0	0.0	0.0	150.0	102.0	0.0	168.0	106.0	399.0	0.0	0.0	116.0	189.0	141.0	0.0	174.0	154.0	0.0	109.0	0.0	110.0	123.0	0.0	2795.0	11013.0	1281.0	10971.0	116.0	0.0	78.0	149.0	0.0	176.0	2371.0	1680.0	323.0	315.0	154.0	76.0	0.0	31260.0	0.0	152.0	8666.0	0.0	103.0	4798.0	504.0	3279.0	668.0	110.0	3164.0	420.0	11884.0	0.0	330.0	437.0	103.0	0.0	983.0	144.0	4333.0	2778.0	3438.0	201.0	0.0	293.0	382.0	616.0	330.0	6858.0	737.0	0.0	768.0	10635.0	2997.0	2108.0	682.0	251.0	774.0	9641.0	1447.0	105.0	83.0	115.0	84.0	75.0	596.0	0.0	12538.0	4519.0	4995.0	2124.0	1367.0	1089.0	4694.0	2464.0	0.0	629.0	6830.0	14096.0	478.0	708.0	6541.0	4771.0	5896.0	0.0	1545.0	3351.0	1472.0	0.0	143.0	0.0	0.0	311.0	190.0	198.0	205.0
790b4cc87e5096887dbefc0c4b93a40d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230163.0	0.0	0.0	0.0	0.0	0.0	0.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37c3d8545d0dcfacf493880df253d028	0.0	185.0	0.0	199.0	257.0	0.0	727.0	525.0	324.0	0.0	11008.0	24141.0	8841.0	23607.0	360.0	0.0	210.0	144.0	1827.0	0.0	0.0	0.0	0.0	0.0	0.0	558.0	0.0	0.0	164.0	282.0	0.0	0.0	244.0	163.0	190.0	0.0	602.0	2821.0	3177.0	1209.0	0.0	0.0	664.0	155.0	0.0	0.0	0.0	225.0	0.0	364.0	315.0	0.0	0.0	64.0	98.0	571.0	78.0	0.0	196.0	83.0	0.0	63.0	240.0	0.0	46.0	0.0	242.0	0.0	0.0	0.0	0.0	351.0	215.0	651.0	569.0	2354.0	125.0	265.0	202.0	1339.0	2664.0	123.0	1100.0	604.0	2045.0	0.0	136.0	110.0	5718.0	5444.0	2913.0	708.0	10822.0	1362.0	3065.0	0.0	0.0	219.0	140.0	265.0	5883.0	0.0	2662.0	4525.0	587.0	134.0	4218.0	181.0	572.0	170.0	0.0	0.0	649.0	802.0	987.0	5863.0	13393.0	2490.0	722.0	7601.0	4232.0	5915.0	984.0	0.0	256.0	0.0	0.0	0.0	1947.0	2625.0	977.0
972f057c0c9c2253056c502b2937f7cf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189191.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86f292cb12081e67e1fd6569b613178c	0.0	31.0	0.0	61.0	38.0	6.0	19.0	0.0	72.0	0.0	254.0	0.0	17787.0	130.0	0.0	17.0	84.0	41.0	58.0	13.0	35.0	38.0	79.0	0.0	45.0	107.0	90.0	11.0	45.0	124.0	33.0	36.0	33.0	63.0	55.0	84.0	32841.0	85937.0	10658.0	19447.0	87.0	0.0	24.0	49.0	46.0	38.0	122.0	93.0	48.0	95.0	95.0	49.0	0.0	44.0	0.0	23.0	70.0	0.0	0.0	31.0	36.0	47.0	57.0	15.0	16.0	0.0	8277.0	0.0	46.0	60.0	51.0	183.0	96.0	55.0	153.0	65.0	69.0	18.0	0.0	73.0	53.0	17.0	51.0	0.0	0.0	0.0	45.0	53.0	79.0	99.0	75.0	70.0	2169.0	59.0	116.0	21.0	35.0	100.0	32.0	58.0	63.0	0.0	101.0	48.0	55.0	20.0	56.0	54.0	43.0	19.0	0.0	44.0	89.0	129.0	22.0	86.0	106.0	58.0	83.0	47.0	29.0	82.0	72.0	0.0	92.0	73.0	0.0	39.0	83.0	115.0	93.0
f8f686a20d60c7c796cc74612d6a6625	0.0	0.0	0.0	72.0	57.0	59.0	1881.0	0.0	100.0	119.0	131.0	73.0	314.0	132.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	113.0	112.0	0.0	71.0	109.0	96.0	0.0	246.0	834.0	86.0	464.0	277.0	88.0	72.0	0.0	150.0	1481.0	138.0	630.0	80.0	126.0	72.0	103.0	103.0	218.0	2804.0	865.0	0.0	133.0	120.0	55.0	0.0	1448.0	110.0	561.0	3572.0	0.0	117.0	663.0	159.0	101.0	432.0	42.0	471.0	374.0	23763.0	0.0	827.0	229.0	1006.0	0.0	501.0	870.0	1366.0	235.0	2149.0	85.0	355.0	1766.0	1378.0	406.0	460.0	2622.0	1349.0	0.0	267.0	1199.0	6048.0	2135.0	3321.0	451.0	3122.0	4336.0	3612.0	78.0	68.0	69.0	48.0	84.0	598.0	46.0	939.0	10512.0	5305.0	1204.0	2293.0	730.0	2092.0	771.0	330.0	963.0	18479.0	7526.0	1453.0	1072.0	4109.0	4385.0	1717.0	2369.0	4978.0	10759.0	12717.0	0.0	90.0	0.0	0.0	83.0	91.0	96.0	204.0
17771dfbac97973b4cd43362abf33852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171338.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43ea8c749d1168a3c280f80bd1e182b4	26.0	64.0	0.0	60.0	68.0	36.0	821.0	0.0	134.0	0.0	134.0	125.0	77.0	0.0	37.0	949.0	200.0	1833.0	1082.0	519.0	123.0	2128.0	107.0	0.0	71.0	285.0	130.0	0.0	86.0	5897.0	169.0	4731.0	187.0	117.0	2759.0	4745.0	49.0	0.0	104.0	116.0	98.0	0.0	124.0	129.0	70.0	3130.0	282.0	1189.0	259.0	1986.0	20420.0	23089.0	0.0	3643.0	125.0	418.0	146.0	0.0	200.0	168.0	1019.0	69.0	269.0	36.0	123.0	0.0	317.0	0.0	69.0	132.0	0.0	166.0	168.0	1121.0	702.0	9086.0	2363.0	582.0	584.0	2252.0	3558.0	361.0	335.0	2281.0	743.0	0.0	2716.0	7502.0	1156.0	2641.0	930.0	208.0	12845.0	593.0	1530.0	1225.0	51.0	65.0	60.0	118.0	255.0	23.0	1976.0	112.0	172.0	28.0	1209.0	0.0	95.0	43.0	0.0	210.0	116.0	2896.0	234.0	16354.0	557.0	415.0	740.0	1262.0	130.0	121.0	89.0	0.0	223.0	0.0	0.0	95.0	173.0	175.0	366.0
2cc4e110df3915b4f5e14cdf1df0a513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135918.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
