Domain	Phylum	Class	Order	Family	Genus	Species	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	24	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	82	108	6020	1513	0	4	0	0	0	0	0	0	163	0	0	3	59	0	4	9	52	67	0	0	0	0	0	0	5	0	0	0	0	11	0	0	4	7	0	0	0	3	0	
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7262	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	0	0	0	4	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0	0	0	4	7	0	0	0	0	5	84	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	5499	0	0	0	0	2	17	126	241	32	4	0	0	0	6	5	0	0	309	0	5	0	9	0	0	0	0	0	0	0	37	4979	164	9	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	
Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	3	3	0	0	0	26	0	0	6	6	0	0	0	4	0	0	0	0	0	0	0	11	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	253	32	5	0	0	0	0	26	28	4672	1076	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	5	338	0	2560	12	4	18	0	0	0	11	4	0	14	0	5	0	3	0	4	0	3	0	41	0	4	0	0	8	7	0	0	0	16	0	0	2	150	0	0	6	0	6	0	5	0	0	6	0	5	7	2	0	5	0	0	3	4	0	0	0	0	0	0	0	0	15	0	4	4	0	0	4	4	0	32	5	0	14	0	5	0	0	8	0	0	0	4	0	0	6	3	9	5	5	72	0	0	0	7	5	0	0	0	0	0	0	0	0	0	1514	2	5	0	0	6	305	0	6	2	28	0	0	0	3	0	0	252	5	0	0	
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Byssomerulius	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	216	0	0	0	6	0	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	28	1181	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	279	3863	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Fungi	Ascomycota	Sordariomycetes				0	3	0	2	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	15	3	0	0	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	8	1378	0	0	2	3	567	3	0	0	3	0	0	0	2	0	5	0	0	0	5	0	2	0	0	0	0	0	0	0	19	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	3	3	0	
Fungi	Ascomycota	Sordariomycetes	Hypocreales			0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	5	215	625	456	0	0	0	0	0	0	0	4	0	0	22	0	0	4	19	132	1608	0	0	0	0	0	0	0	0	
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	534	1999	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	6	0	28	0	0	133	0	0	0	14	5	0	0	0	0	0	0	5	4	0	0	0	0	2	8	0	8	12	184	699	5	88	0	0	11	6	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	2	0	3	0	10	8	0	233	7	0	0	6	0	2	8	5	0	58	0	0	4	0	4	3	0	0	196	0	0	0	0	7	0	9	3	6	0	0	4	0	0	0	0	4	9	0	264	17	3	20	56	13	7	3	0	0	0	0	0	0	6	13	
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	735	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Selenophoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	928	69	74	187	0	26	0	34	0	0	0	12	0	0	144	0	0	0	0	0	36	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	55	0	23	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	8	2	0	0	0	2	0	0	1071	0	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	29	0	0	0	1071	0	0	0	17	0	0	0	2	2	0	2	317	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	13	4	59	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	7	4	26	22	0	0	0	0	0	0	0	0	277	41	110	73	
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	33	11	1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	17	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
