Domain	Phylum	Class	Order	Family	Genus	Species	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae		25	0	0	45	38	0	1322	0	33	0	36	0	0	74	136	28	50	52	0	0	0	33	0	0	51	57	89	56	0	140	0	0	0	63	55	58	41	257	0	0	65	19	0	125	0	0	0	62	56	108	53	52	0	40	0	29	0	0	0	0	40	0	0	0	0	0	58	0	0	38	46	0	0	53	9252	288	5935	66	0	0	43	970	1925	6146	24	0	54	54	53	0	39	0	171	229	965	0	0	49	32	0	126	0	65	0	273	0	27	52	0	0	196	59	1695	4536	4098	62	3535	3750	12243	0	297	27	79	0	94	0	0	0	0	61	90	
Fungi	Ascomycota					0	0	0	18	14	17	36	37	33	19	19	14	30	0	0	0	23	45	0	0	16	14	0	0	12	40	529	0	0	78	26	40	0	17	13	23	9	107	38	2065	218	159	1420	2642	13	15	51	697	0	32	17	91	0	14	325	16	30	0	28	32	10	14	0	0	0	0	22	0	10	36	12	0	39	19	2593	0	18	0	0	0	358	274	10866	2958	100	0	1569	23778	43	47	26	32	24	27	18	0	0	29	27	38	810	22	18	10	13	0	110	111	447	449	0	28	368	518	25	88	152	867	3515	127	74	265	7929	0	21	25	0	14	21	48	37	
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	0	42	0	21	16	0	1001	0	58	95	0	71	32	21	0	0	36	0	0	0	26	11	9	0	15	97	33	0	89	17	7	0	83	19	15	37	13	111	0	99	148	0	0	0	46	12	0	62	47	31	37	8	0	17	24	0	64	0	0	49	13	53	115	22	15	37	32	0	49	69	17	21	66	0	8513	158	3273	0	0	162	47	381	7497	4789	42	0	86	58	112	3921	3101	1886	142	1326	1029	35	0	11	9	66	1488	87	22	226	1889	445	63	237	1288	2595	432	20	5276	20508	7161	131	3487	3198	11698	58	413	3038	16836	0	26	0	0	52	83	87	64	
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_unk	Sistotrema	0	0	0	0	0	0	0	0	8	5	7	7	16	14	0	0	8	0	0	6	4	0	0	0	2	13	15	0	0	0	0	0	0	7	4	0	0	15	0	12	0	0	0	0	0	0	0	8	0	0	7	0	0	8	0	7	7	0	0	0	0	4	0	0	0	11	4	0	0	0	6	7	10	0	29	17	269	426	0	0	0	0	8	532	0	0	0	6	9	50	384	31203	5	204	1166	9	5	5	0	7	4	0	7	6	9	3	11	9	6	84	0	0	68	123	206	9	15	10	47	0	5	15	50	0	16	0	0	0	3	17	12	
Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	36	0	0	9	4	14	0	18	8	6	0	8	32	10	0	3	12	4	0	0	3	1661	6	0	11	71	6	0	7	14	4	0	0	9	8	14	0	0	0	80	10	0	3	8	1064	389	0	22406	0	8	13	4	0	3	0	2	5	0	0	4	1924	7	14	0	3	0	18	0	29	17	2	0	9	9	5	8	7	38	7	11	7	0	0	0	8	0	0	12	9	0	21	3	7	7	28	381	0	9	6	13	8	0	19	14	0	2	10	11	4	0	0	0	12	12	0	11	18	0	12	0	0	0	4	0	9	77	0	8	15	10	16	
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		0	12	0	0	12	0	8	29	26	20	18	22	0	23	0	8	0	93	70	0	13	18	4	0	16	24	0	0	15	15	6	17	0	29	14	0	5	0	0	45	341	0	4481	20300	16	14	20	50	0	19	20	620	0	8	0	8	14	0	0	9	12	16	12	0	3	24	20	0	6	22	9	19	26	12	17	0	30	10	10	0	17	8	18	7	10	0	12	17	25	25	15	13	19	24	18	0	0	18	8	18	15	0	21	17	15	4	12	11	15	6	0	9	33	47	4	26	26	56	27	15	10	25	16	0	31	0	0	15	25	33	0	
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	3	0	0	8	7	0	0	0	9	19	10	7	9	5	0	0	17	3	1993	0	0	8	0	0	0	13	17	0	4	14	2	5	8	12	0	0	2	0	6	8	11721	198	267	1031	0	0	12	11	9	10	45	31	0	7	454	0	4	0	0	0	7	5	0	0	0	0	4	0	5	18	24	5	20	14	9	0	14	0	0	0	0	0	8	0	0	0	4	9	8	13	11	4	12	9	6	4	4	6	5	0	13	0	0	7	3	3	7	0	10	3	14	0	11	15	0	12	13	0	10	13	0	24	8	0	72	1102	1474	0	17	15	0	
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae		0	0	0	6	0	0	0	0	8	5	9	6	6	0	0	0	13	0	0	0	6	0	0	0	5	13	0	0	4	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	8	9	5	4	4	3	0	5	6	0	2	0	0	0	5	5	0	0	0	11	9	0	0	11	0	0	6	4	0	13624	4	4	3	6	6	0	6	6	3	0	3	3	0	0	5	4	5	14	7	0	0	7	3	5	3	0	7	9	4	0	6	0	3	0	0	0	5	22	0	9	4	0	4	5	33	0	4	0	0	0	0	14	0	10	0	
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Emericellopsis	0	0	0	5	0	0	132	0	6	6	0	2	0	5	0	0	0	5	8	0	0	0	0	0	0	0	7	0	8	8	0	0	0	0	9	0	0	0	0	14	7	0	0	11	5	0	16	10	0	0	14	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	5	7	4	8	16	11	7261	0	0	4	0	5	1102	0	0	5	0	9	0	4	0	0	0	4	0	0	0	0	5	9	0	0	20	1026	0	6	32	571	872	0	0	5	7	0	3	8	9	12	5	4	4	12	0	7	0	0	4	5	4	5	
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	28	927	0	13505	19	10	1170	0	16	13	82	26	20	20	22	48	17	9	10	17	12	9	11	763	8	14	24	17	14	17	11	14	12	85	8	0	18	0	27	17	16	0	0	0	15	51	26	23	0	21	18	6	14	13	9	7	11	25	13	7	0	12	17	4	5	0	28	0	13	22	16	15	18	18	15	25	16	15	6	23	17	0	10	44	12	0	12	15	9	16	27	9	9	10	26	20	10	10	7	11	16	7	0	0	7	0	20	18	24	15	3944	14	23	0	7	25	709	17	17	8	95	10	15	0	13	0	0	857	27	24	0	
